name,salts,packaging_form,quantity,retail_price,cluster_id
dolo 650mg strip of 15 tablets,paracetamol / acetaminophen(650.0 mg),STRIP,15 Tablet(s) in Strip,33.76,4
dolo 650 tablet,paracetamol 650mg,strip,650,33.6,4
dolo650 tablet 15s,paracetamol-650mg,Strip | Tablet,15,33.5,4
dolo ampoule of 2ml injection,paracetamol / acetaminophen(150.0 mg),AMPOULE,2ml Injection in Ampoule,9.8,2
dolo bottle of 5ml drops,paracetamol / acetaminophen(100.0 mg),BOTTLE,5ml Oral Drop in Bottle,27.0,0
dolo cold 325102 mg suspension 60 ml,phenylephrine(10.0 mg) + chlorpheniramine / chlorphenamine(2.0 mg) + paracetamol / acetaminophen(325.0 mg),BOTTLE,60ml Suspension in Bottle,54.45,0
dolo cold 50 mg capsule sr 10,chlorpheniramine / chlorphenamine(50.0 mg) + pseudoephedrine(50.0 mg) + paracetamol / acetaminophen(50.0 mg),STRIP,10 Capsule(s) in Strip,15.85,4
dolo cold 500mg30mg10mg tablet,"paracetamol/acetaminophen 500mg,caffeine 30mg,phen",strip,10,35.0,4
dolo cold adult nasal drops,xylometazoline,BOTTLE,10ml Nasal Drop in Bottle,40.83,3
dolo cold pead nasal drops,xylometazoline,BOTTLE,10ml Nasal Drop in Bottle,41.0,3
dolo cold strip of 10 tablets,caffeine(30.0 mg) + phenylephrine(10.0 mg) + chlorpheniramine / chlorphenamine(2.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,35.44,4
dolo cold syrup 60ml,chlorpheniramine + paracetamol + pseudoephedrine,BOTTLE,60ml Suspension in Bottle,53.55,0
dolo drops,paracetamol (100mg/ml),bottle,15.0 ml in 1 packet,30.07,0
dolo g tablets,dicyclomine + mefenamic acid,STRIP,10 Tablet(s) in Strip,30.91,1
dolo infusion 100ml,paracetamol / acetaminophen(1.0 g),BOTTLE,100ml Infusion in Bottle,75.03,0
dolo infusion 100 ml,paracetamol-1000mg,Bottle | Infusion,100,331.0,0
dolo ivg 1 infusion 100 ml,paracetamol-1000mg,Bottle | Infusion,100,401.0,0
dolo k 50 mg strip of 10 tablets,diclofenac(50.0 mg),STRIP,10 Tablet(s) in Strip,7.5,1
dolo m tablets,drotaverine + mefenamic acid,STRIP,10 Tablet(s) in Strip,38.1,1
dolo mf bottle of 60ml suspension,mefenamic acid(100.0 mg/5ml) + paracetamol / acetaminophen(250.0 mg/5ml),BOTTLE,60ml Suspension in Bottle,57.51,0
dolo mf junior bottle of 60ml suspension,paracetamol / acetaminophen(125.0 mg/5ml) + mefenamic acid(50.0 mg/5ml),BOTTLE,60ml Suspension in Bottle,52.0,0
dolomf junior oral suspension,mefenamic acid (50mg/5ml) + paracetamol (125mg/5ml),bottle,60.0 ml in 1 bottle,56.5,0
dolomf junior oral suspension 60 ml,mefenamic acid-50mg + paracetamol-125mg,Bottle | Suspension,60,56.5,0
dolomf oral suspension,"mefenamic acid 100mg,paracetamol/acetaminophen 250",bottle,100 ml,49.0,0
dolomf susp 60ml,mefenamic acid-100mg + paracetamol-250mg,Bottle | Suspension,60,63.0,0
dolo micro labs forte 500 mg tablet 10,paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,14.95,4
dolo oral drops 15 ml,paracetamol-100mg,Bottle | Oral Drops,15,30.0,0
dolo pain relief bottle of 35gm spray,diclofenac(1.16 %) + menthol(5.0 %) + methyl salicylate(10.0 %) + linseed oil(3.0 %),BOTTLE,35g Spray in Bottle,83.5,0
dolo pain relief spray 55 gm,diclofenac-1.16%w/v + linseed oil-3%w/v + menthol-5%w/v + methyl salicylate-10%w/v,Bottle | Spray,55,143.5,0
dolo plus tablet,diclofenac(50.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,10.0,4
dolo relieve tablet,diclofenac(50.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,18.0,4
dolo soft mr 100mg2mg tablet,"nimesulide 100mg,tizanidine 2mg",strip,2,47.0,1
dolo sp 500mg tablet,paracetamol/acetaminophen 500mg,strip,500,68.75,4
dolo suspension 60ml,paracetamol / acetaminophen(156.25 mg/5ml),BOTTLE,60ml Suspension in Bottle,51.0,0
dolo suspension 60 ml,paracetamol-125mg,Bottle | Suspension,60,56.0,0
dolot tablet,tramadol (37.5mg) + paracetamol (325mg),strip,10 tablets,143.3909250764526,4
dolot tablet 10s,paracetamol-325mg + tramadol-37.5mg,Strip | Tablet,10,123.0,4
dolo th 4 tablet,paracetamol (500mg) + thiocolchicoside (4mg),strip,10.0 tablets in 1 strip,189.7,4
dolo th 4 tablet 10s,paracetamol-500mg + thiocolchicoside-4mg,Strip | Tablet,10,189.5,4
dolo xtraa tablet 15s,caffeine-50mg + paracetamol-650mg,Strip | Tablet,15,47.0,4
doloact 25mg injection,diclofenac 25mg,injection,25,6.66,2
doloact 25mg injection 3ml,diclofenac(25.0 mg),INJECTION,3ml Injection,6.66,2
doloact 50mg tablet dt,diclofenac 50mg,strip,50,11.26,1
doloact dt tablet,diclofenac(50.0 mg),STRIP,10 Tablet(s) in Strip,11.26,1
doloact gel 30gm,diclofenac(1.16 %),TUBE,30g Gel in Tube,51.0,3
doloact mouth paint,beclomethasone + clotrimazole,BOTTLE,10ml Mouth Paint in Bottle,55.0,3
doloact mr 250mg465mg500mg tablet,"chlorzoxazone 250mg,diclofenac 46.5mg,paracetamol/",strip,500,40.96,4
doloact mr 250mg465mg500mg tablet dt,chlorzoxazone (250mg) + diclofenac (46.5mg) + paracetamol (500mg),strip,10.0 tablet dt in 1 strip,40.96,4
doloact mr dt strip of 10 tablets,chlorzoxazone + diclofenac sodium + paracetamol,STRIP,10 Tablet(s) in Strip,40.0,4
doloact plus 50mg500mg tablet,diclofenac (50mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,17.1,4
doloact plus dt strip of 10 tablets,diclofenac sodium + paracetamol,STRIP,10 Tablet(s) in Strip,16.0,4
doloact plus gel 30gm,diclofenac + linseed oil + menthol + methyl salicylate,TUBE,30g Gel in Tube,14.0,3
doloage 20mg injection,piroxicam (20mg),injection,20,143.3909250764526,2
doloage 20mg tablet,piroxicam (20mg),strip,10.0 tablets in 1 strip,32.0,1
doloage 20mg tablets,piroxicam(20.0 mg),STRIP,10 Tablet(s) in Strip,28.0,1
doloage injection,piroxicam(40.0 mg),INJECTION,2ml Injection,168.0,2
doloage p 325mg20mg tablet,paracetamol (325mg) + piroxicam (20mg),strip,10.0 tablets in 1 strip,68.0,4
doloarmr tablet 10s,aceclofenac-100mg + chlorzoxazone-250mg + paracetamol-325mg,Strip | Tablet,10,95.0,4
doloar sp tab 10s,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,Strip | Tablet,10,110.0,4
dolobak 100mg450mg tablet,paracetamol (100mg) + chlormezanone (450mg),strip,10.0 tablets in 1 strip,123.0,4
dolobak 450 mg100 mg tablet,"paracetamol/acetaminophen 450mg,chlormezanone 100m",strip,100,56.0,4
dolobak strip of 10 tablets,tramadol(37.5 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,123.75,4
dolobak tablet,tramadol (37.5mg) + paracetamol (325mg),strip,10 tablets,143.3909250764526,4
dolobak tablet 10s,paracetamol-325mg + tramadol-37.5mg,Strip | Tablet,10,135.0,4
doloban 100mg tablet sr,diclofenac (100mg),strip,10.0 tablet sr in 1 strip,38.1,1
doloban 25mg injection,diclofenac (25mg),injection,3.0 ml in 1 ampoule,10.5,2
doloban aqua 75mg ampoule of 1ml injection,diclofenac(75.0 mg),AMPOULE,1ml Injection in Ampoule,423.0,2
doloban aqua 75mg injection,diclofenac 75mg,injection,75,22.0,2
doloban aqua injection 1ml,diclofenac-75mg,Vial | Injection,1,22.0,2
doloban injection 3ml,diclofenac(25.0 mg),AMPOULE,3ml Injection in Ampoule,4.57,2
doloban injection 30ml,diclofenac(25.0 mg),VIAL,30ml Injection in Vial,31.42,2
dolobanmr 502 mg tablet mr 10,tizanidine(2.0 mg) + diclofenac(50.0 mg),STRIP,10 Tablet(s) in Strip,9.9,1
doloban plus vet injection,nimesulide + paracetamol,AMPOULE,30ml Injection in Ampoule,93.0,2
doloban plus vet injection 90ml,nimesulide + paracetamol,AMPOULE,90ml Injection in Ampoule,275.0,2
dolobans tablet,diclofenac (50mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,62.0,1
doloban sr 100mg strip of 10 tablets,diclofenac(100.0 mg),STRIP,10 Tablet(s) in Strip,38.1,1
doloban strip of 10 tablets,chlorzoxazone + diclofenac + paracetamol,STRIP,10 Tablet(s) in Strip,40.0,4
dolobest 100mg tablet,aceclofenac 100mg,strip,100,71.42,1
dolobest 200mg tablet sr,aceclofenac 200mg,strip,200,26.63,1
dolobest mr 100mg500mg250mg tablet,"aceclofenac 100mg,paracetamol/acetaminophen 500mg,",strip,250,130.0,4
dolobest mr strip of 10 tablets,aceclofenac(100.0 mg) + chlorzoxazone(250.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,130.0,4
dolobest mr tablet,aceclofenac-100mg + chlorzoxazone-250mg + paracetamol-500mg,Strip | Tablet,10,130.0,4
dolobest od 200mg tablet,aceclofenac 200mg,strip,200,45.7,1
dolobest od strip of 10 tablets,aceclofenac(200.0 mg),STRIP,10 Tablet(s) in Strip,45.7,1
dolobest p 100 mg500 mg tablet,aceclofenac (100mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,40.4,4
dolobest p strip of 10 tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,29.0,4
dolobest p tablet 10s,aceclofenac-100mg + paracetamol-500mg,Strip | Tablet,10,40.4,4
dolobest sp 100mg500mg15mg tablet,aceclofenac (100mg) + paracetamol (500mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,73.5,4
dolobest sp strip of 10 tablets,aceclofenac + paracetamol + serratiopeptidase,STRIP,10 Tablet(s) in Strip,57.8,4
dolobest sr 200 mg tablet 10,aceclofenac(200.0 mg),STRIP,10 Tablet(s) in Strip,26.63,1
dolobest strip of 10 tablets,aceclofenac(100.0 mg),STRIP,10 Tablet(s) in Strip,19.9,1
dolobid 50mg15mg tablet,diclofenac-50mg + serratiopeptidase-15mg,Strip | Tablet,10,70.0,1
dolobid m oint 30gm,diclofenac + menthol + methyl salicylate,TUBE,30g Ointment in Tube,87.19,3
dolobrake capsule,"diclofenac 100mg,rabeprazole 20mg",strip,10 tablets,60.5,1
dolobrake mr 500mg50mg325mg tablet,chlorzoxazone-500mg + diclofenac-50mg + paracetamol-325mg,Strip | Tablet,10,85.0,4
dolobrake sp 50mg325mg15mg tablet,diclofenac (50mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,90.2,4
doloby plus 100mg500mg tablet,aceclofenac (100mg) + paracetamol (500mg),strip,500,143.3909250764526,4
dolocaf extra tablet,caffeine (50mg) + paracetamol (650mg),strip,10.0 tablets in 1 strip,40.0,4
dolocaine cream,prilocaine (25mg/gm) + lidocaine (25mg/gm),tube,5.0 gm in 1 tube,196.0,0
dolocaine cream 15gm,prilocaine(2.5 %) + lidocaine / lignocaine(2.5 %),TUBE,15g Cream in Tube,319.56,3
dolocaine cream 30 gm,lidocaine-25mg + prilocaine-25mg,Tube | Cream,30,835.0,0
dolocaine cream 30gm,prilocaine(2.5 %) + lidocaine / lignocaine(2.5 %),TUBE,30g Cream in Tube,708.5,3
dolocaine cream 5gm,lidocaine-2.5%w/w + prilocaine-2.5%w/w,Tube | Cream,5,127.0,3
dolocalm 75mg injection,diclofenac (75mg),injection,1.0 ml in 1 vial,14.0,2
dolocalm forte 50mg500mg tablet,diclofenac (50mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,30.0,4
dolocalm forte tablets,diclofenac sodium + paracetamol,STRIP,10 Tablet(s) in Strip,30.0,4
dolocalm gel,diclofenac + linseed oil + menthol + methyl salicylate,TUBE,30g Gel in Tube,90.0,3
dolocalm injection,diclofenac sodium,INJECTION,1ml Injection,50.88,2
dolocam 20mg tablet,piroxicam (20mg),strip,10.0 tablets in 1 strip,50.88,1
dolocam 20 mg tablet 10,piroxicam(20.0 mg),STRIP,10 Tablet(s) in Strip,50.88,1
dolocam 20mg tablet dt,piroxicam (20mg),strip,25.0 tablet dt in 1 strip,68.8,1
dolocam dt 20mg tablet,piroxicam(20.0 mg),STRIP,10 Tablet(s) in Strip,33.0,1
dolocare 1000mg tablet,paracetamol-1000mg,Strip | Tablet,10,50.0,4
dolocare 20mg tablets,piroxicam(20.0 mg),STRIP,10 Tablet(s) in Strip,7.0,1
dolocare 500 mg tablet,paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,39.0,4
dolocare 500mg tablet,paracetamol/acetaminophen 500mg,strip,500,49.31,4
dolocare injection 2ml,piroxicam,INJECTION,2ml Injection,13.0,2
dolocef 250mg strip of 10 tablets,cefradine(250.0 mg),STRIP,10 Tablet(s) in Strip,410.0,1
dolocef 500 mg tablet 10,cefuroxime(500.0 mg),STRIP,10 Tablet(s) in Strip,410.0,1
dolocel plus tablet,diclofenac-50mg + paracetamol-325mg + serratiopeptidase-10mg,Strip | Tablet,10,80.0,4
dolocel sp 50mg10mg tablet,diclofenac-50mg + serratiopeptidase-10mg,Strip | Tablet,10,95.2,1
dolocem 20mg tablet dt,piroxicam-20mg,Strip | Tablet,10,70.0,1
dolocet 325 mg375 mg tablet,"paracetamol/acetaminophen 325mg,tramadol 37.5mg",strip,375,46.23,4
dolocet 400mg tablets,paracetamol + tramadol,STRIP,10 Tablet(s) in Strip,45.0,4
dolocet p 100mg325mg tablet,aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,37.52,4
dolocetp tablet 10s,aceclofenac-100mg + paracetamol-325mg,Strip | Tablet,10,37.5,4
dolochek 100mg strip of 10 tablets,aceclofenac(100.0 mg),STRIP,10 Tablet(s) in Strip,22.12,1
dolochek 100mg tablet,aceclofenac 100mg,strip,100,22.12,1
dolochek 200mg tablet sr,aceclofenac 200mg,strip,200,31.99,1
dolochek p 100mg500mg tablet,aceclofenac (100mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,37.0,4
dolochek p strip of 10 tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,76.0,4
dolochek sr 200mg strip of 10 tablets,aceclofenac(200.0 mg),STRIP,10 Tablet(s) in Strip,267.3,1
dolocide k 50mg tablet,diclofenac 50mg,strip,50,15.1,1
dolocide k plus strip of 10 tablets,diclofenac potassium,STRIP,10 Tablet(s) in Strip,143.3909250764526,1
dolocide k strip of 10 tablets,diclofenac(50.0 mg),STRIP,10 Tablet(s) in Strip,13.5,1
dolocide kp strip of 10 tablets,diclofenac + paracetamol,STRIP,10 Tablet(s) in Strip,19.8,4
dolocide kp tablet,"diclofenac 50mg,paracetamol/acetaminophen 650mg",strip,10 tablets,19.8,4
dolocide mr 250mg tablet,chlorzoxazone-250mg + diclofenac-50mg + paracetamol-325mg,Strip | Tablet,10,128.0,4
dolocide mr strip of 10 tablets,chlorzoxazone(200.0 mg) + diclofenac(50.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,98.44,4
dolocide mr tablet,"chlorzoxazone 250mg,diclofenac 50mg,paracetamol/ac",strip,10 tablets,97.0,4
dolocide plus gel 30gm,diclofenac(1.0 %) + linseed oil(3.0 %) + menthol(5.0 %) + methyl salicylate(10.0 %),TUBE,30g Gel in Tube,66.0,3
dolocide plus tablet,"chlorzoxazone 250mg,diclofenac 50mg,paracetamol/ac",strip,10 tablets,18.86,4
dolocip 20mg tablet dt,piroxicam 20mg,strip,20,30.0,1
dolocip dt 20mg tablet,piroxicam(20.0 mg),STRIP,10 Tablet(s) in Strip,34.5,1
doloco gel 30gm,diclofenac(1.16 %) + menthol(5.0 %) + methyl salicylate(10.0 %) + linseed oil(3.0 %),TUBE,30g Gel in Tube,90.0,3
doloco tablets,chlorzoxazone + diclofenac sodium + paracetamol,STRIP,10 Tablet(s) in Strip,49.0,4
dolocold adult nasal spray,xylometazoline-200mg,Bottle | Nasal Spray,1,57.0,3
dolocold ds oral suspension,"chlorpheniramine maleate 2mg,paracetamol/acetamino",bottle,100 ml,51.75,0
dolocold ds suspension 60 ml,chlorpheniramine-2mg + paracetamol-250mg + phenylephrine-5mg,Bottle | Suspension,60,73.0,0
dolocold ds syrup 60ml,chlorpheniramine maleate(2.0 mg) + phenylephrine(5.0 mg) + paracetamol / acetaminophen(250.0 mg),BOTTLE,60ml Syrup in Bottle,61.45,0
dolocold junior nasal drops,xylometazoline 0.05% w/v,bottle,100 ml,34.53,3
dolocold junior nasal drops 10 ml,xylometazoline-0.05%w/v,Bottle | Nasal Drops,10,36.68,3
dolocold syrup,"chlorpheniramine maleate 1mg,paracetamol/acetamino",bottle,100 ml,38.0,0
dolocold syrup 60 ml,caffeine-30mg + chlorpheniramine-2mg + paracetamol-325mg + phenylephrine-10mg,Bottle | Syrup,60,58.0,0
dolocold tablet 10s,caffeine-30mg + chlorpheniramine maleate-2mg + paracetamol-500mg + phenylephrine hydrochloride-10mg,Strip | Tablet,10,38.0,4
dolocrat 100 mg500 mg tablet,aceclofenac (100mg) + paracetamol (500mg),strip,10.0 tablets in 1 strip,33.0,4
dolocrat plus tablet,"aceclofenac 100mg,paracetamol/acetaminophen 500mg,",strip,10 tablets,53.0,4
dolocrat tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(500.0 mg),STRIP,10 Tablet(s) in Strip,36.0,4
dolocuredt tablet,piroxicam (20mg),strip,15.0 tablet dt in 1 strip,150.0,1
dolocute gel 30 gm,diclofenac-1%w/w + linseed-3%w/w + menthol-1%w/w + salicylic acid-10%w/w,Tube | Gel,30,90.0,3
dolodart 120mg5ml suspension,paracetamol (120mg/5ml),bottle,60.0 ml in 1 bottle,143.3909250764526,0
dolodart 120 suspension 60 ml,paracetamol-120mg,Bottle | Suspension,60,40.0,0
dolodart ds 250mg5ml suspension,paracetamol/acetaminophen 250mg/5ml,bottle,5,37.2,0
dolodart ds suspension 60ml,paracetamol / acetaminophen(250.0 mg/5ml),BOTTLE,60ml Suspension in Bottle,44.35,0
dolodart ds suspension 60 ml,paracetamol-250mg,Bottle | Suspension,60,45.0,0
dolodart suspension 60ml,paracetamol / acetaminophen(120.0 mg/5ml),BOTTLE,60ml Suspension in Bottle,36.29,0
dolodase injection,diclofenac na,injection,1 vial,21.5,2
dolodase p 50 mg10 mg tablet,"diclofenac 50mg,serratiopeptidase 10mg",strip,10,58.0,1
dolodase tablet,diclofenac (na),strip,10.0 tablets in 1 strip,44.0,1
dolodik 100 mg500 mg tablet,"aceclofenac 100mg,paracetamol/acetaminophen 500mg",strip,500,26.43,4
dolodik s 100 mg500 mg15 mg tablet,"aceclofenac 100mg,paracetamol/acetaminophen 500mg,",strip,15,50.37,4
dolodil injection 2ml,piroxicam(20.0 mg),INJECTION,2ml Injection,143.3909250764526,2
dolodol 100mg injection,tramadol 100mg,injection,100,23.0,2
dolodol 50mg capsule,tramadol 50mg,strip,50,38.5,1
dolodol injection,tramadol,INJECTION,2ml Injection,143.3909250764526,2
dolodol micro lab 50 mg capsule 10,tramadol(50.0 mg),STRIP,10 Capsule(s) in Strip,49.12,1
dolodol p tablet,"paracetamol/acetaminophen 325mg,tramadol 37.5mg",strip,10 tablets,9.87,4
dolodor 20mg tablet,piroxicam 20mg,strip,20,60.0,1
doloend mr strip of 10 tablets,aceclofenac(100.0 mg) + thiocolchicoside(4.0 mg),STRIP,10 Tablet(s) in Strip,142.0,1
doloendmr tablet,aceclofenac-100mg + thiocolchicoside-4mg,Strip | Tablet,10,119.0,1
doloendmr tablet,aceclofenac (na) + thiocolchicoside (na),strip,10.0 tablets in 1 strip,119.0,1
doloend p strip of 10 tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,27.7,4
doloendp tablet,aceclofenac (na) + paracetamol (na),strip,10.0 tablets in 1 strip,27.7,4
doloend sp strip of 10 tablets,aceclofenac(100.0 mg) + serratiopeptidase(15.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,89.5,4
doloendsp tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,92.0,4
doloendsp tablet 10s,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,Strip | Tablet,10,89.5,4
dolofabsp tablet,aceclofenac (100mg) + paracetamol (325mg) + serratiopeptidase (15mg),strip,10.0 tablets in 1 strip,82.0,4
dolofab tablet,aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,46.0,4
dolofan 20mg injection,piroxicam (20mg),injection,2.0 ml in 1 vial,19.98,2
dolofan injection,piroxicam,INJECTION,2ml Injection,19.0,2
dolofen a tablet,ibuprofen (400mg) + paracetamol (325mg) + magnesium trisilicate (100mg),strip,10 tablets,143.3909250764526,4
dolofen suspension,ibuprofen (100mg) + paracetamol (162.5mg),bottle,50.0 ml in 1 bottle,12.8,0
dolofenac tablets,diclofenac sodium + paracetamol,STRIP,10 Tablet(s) in Strip,21.0,4
dolofin injection,ibuprofen na,injection,1 vial,4.3,2
dolofin mr 250mg50mg500mg tablet,chlorzoxazone-250mg + diclofenac-50mg + paracetamol-500mg,Strip | Tablet,10,59.85,4
dolofin plus 50 mg500 mg tablet,diclofenac-50mg + paracetamol-500mg,Strip | Tablet,10,14.25,4
dolofirst 325 mg375 mg tablet,"paracetamol/acetaminophen 325mg,tramadol 37.5mg",strip,375,53.2,4
dolofirst 375mg325mg tablet,tramadol (37.5mg) + paracetamol (325mg),strip,325,143.3909250764526,4
dolofirst 650mg tablet,paracetamol (650mg),strip,15.0 tablets in 1 strip,24.0,4
dolofirst 650 mg tablet 15s,paracetamol-650mg,Strip | Tablet,15,30.5,4
dolofirst tablet,tramadol(37.5 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,53.2,4
doloflam gel 30 gm,diclofenac sodium-1% + linseed oil-3% + menthol-5% + methyl salicylate-10%,Tube | Gel,30,70.0,3
doloflam mr 100mg tablets,nimesulide + tizanidine,STRIP,10 Tablet(s) in Strip,80.0,1
doloflam plus 100 mg500 mg tablet,nimesulide (100mg) + paracetamol (500mg),strip,500,143.3909250764526,4
doloflam plus 100mg tablets,nimesulide + paracetamol,STRIP,10 Tablet(s) in Strip,2.0,4
doloflam tablet,nimesulide (na),strip,10.0 tablets in 1 strip,9.3,1
doloflam tablets,diclofenac + paracetamol,STRIP,10 Tablet(s) in Strip,17.0,4
doloflex 100mg500mg250mg tablet mr,aceclofenac (100mg) + paracetamol (500mg) + chlorzoxazone (250mg),strip,10.0 tablet mr in 1 strip,80.0,4
doloflex gel 30 gm,diclofenac diethylamine-1.16%w/w + linseed oil-3%w/w + menthol-5%w/w + methyl salicylate-10%w/w,Tube | Gel,30,85.0,3
doloflex mr strip of 10 tablets,chlorzoxazone(250.0 mg) + aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,80.0,4
doloflexmr tablet,aceclofenac (100mg) + paracetamol (325mg) + chlorzoxazone (250mg),strip,10.0 tablets in 1 strip,80.0,4
doloflexmr tablet 10s,aceclofenac-100mg + chlorzoxazone-250mg + paracetamol-325mg,Strip | Tablet,10,80.0,4
doloflex oral suspension,ibuprofen (100mg) + paracetamol (125mg),bottle,60.0 ml in 1 bottle,37.0,0
doloflexp oral suspension,aceclofenac (50mg) + paracetamol (125mg),bottle,60.0 ml in 1 bottle,58.0,0
doloflex p strip of 10 tablets,aceclofenac(100.0 mg) + paracetamol / acetaminophen(325.0 mg),STRIP,10 Tablet(s) in Strip,11.0,4
doloflexp tablet,aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,42.0,4
doloflex plus tablet,aceclofenac (100mg) + paracetamol (325mg),strip,10.0 tablets in 1 strip,43.0,4
doloflexsp tablet,"aceclofenac 100mg,paracetamol/acetaminophen 325mg,",strip,10 tablets,85.0,4
doloflexsp tablet 10s,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,Strip | Tablet,10,98.0,4
doloflex t 100mg4mg tablet,aceclofenac (100mg) + thiocolchicoside (4mg),strip,10.0 tablets in 1 strip,165.0,1
doloflex tube of 30gm gel,diclofenac(1.16 %w/w) + linseed oil(3.0 %w/w) + menthol(5.0 %w/w) + methyl salicylate(10.0 %w/w),TUBE,30g Gel in Tube,72.0,3
doloflextz tablet,"aceclofenac 100mg,paracetamol/acetaminophen 325mg,",strip,10 tablets,82.0,4
doloforce 40mg injection,piroxicam (40mg),injection,2.0 ml in 1 vial,38.96,2
doloforce ampoule of 2ml injection,piroxicam(20.0 mg),AMPOULE,2ml Injection in Ampoule,34.45,2
doloforce dt 10mg strip of 10 tablets,piroxicam(10.0 mg),STRIP,10 Tablet(s) in Strip,77.05,1
doloforce dt 10mg tab 1x10,piroxicam 20 mg,Strip TABLET,10,83.54,1
doloforce dt 20mg strip of 10 tablets,piroxicam(20.0 mg),STRIP,10 Tablet(s) in Strip,83.54,1
doloforce dt tablet,piroxicam (20mg),strip,10.0 tablet dt in 1 strip,83.54,1
