id,name,source,prescription_required,retail_price,discounted_price,manufacturer,quantity,packaging_form,salts,salts_encoded,packaging_encoded,manufacturer_encoded,quantity_numeric,retail_price_scaled,discounted_price_scaled,text_representation,cluster_id,pca_x,pca_y
source_1-65081,dolo 250 suspension 60 ml,source_1,False,45.0,39.6,micro labs ltd,60,Bottle | Suspension,paracetamol-250mg,589,23,177,60.0,-0.12840617347740538,-0.14246812847477514,dolo 250 suspension 60 ml paracetamol-250mg Bottle | Suspension,0,0.19850263,-0.48456064
source_6-75719,dolo 500mg strip of 10 tablets,source_6,False,13.58,13.58,micro labs,10 Tablet(s) in Strip,STRIP,paracetamol / acetaminophen(500.0 mg),576,38,176,10.0,-0.16947164929514344,-0.19165902921916828,dolo 500mg strip of 10 tablets paracetamol / acetaminophen(500.0 mg) STRIP,4,-0.22639354,-0.120618306
source_6-75720,dolo 500mg strip of 15 tablets,source_6,False,14.95,13.16,micro labs,15 Tablet(s) in Strip,STRIP,paracetamol / acetaminophen(500.0 mg),576,38,176,15.0,-0.16768107953479014,-0.19245304068391253,dolo 500mg strip of 15 tablets paracetamol / acetaminophen(500.0 mg) STRIP,4,-0.23138689,-0.14761621
source_3-2153,dolo 500mg tab 1x15,source_3,False,14.95,14.2,micro labs ltd,15,Strip TABLET,paracetamol/acetaminophen 500 mg,607,40,177,15.0,-0.16768107953479014,-0.19048691705692677,dolo 500mg tab 1x15 paracetamol/acetaminophen 500 mg Strip TABLET,4,-0.28059775,-0.086393066
source_2-39583,dolo 500 tablet,source_2,True,14.95,12.26,micro labs ltd,500,strip,paracetamol 500mg,579,57,177,500.0,-0.16768107953479014,-0.19415449382265015,dolo 500 tablet paracetamol 500mg strip,4,-0.23296937,-0.10259562
source_1-65082,dolo 500 tablet 10s,source_1,False,10.0,8.8,micro labs ltd,10,Strip | Tablet,paracetamol-500mg,592,42,177,10.0,-0.1741506564061397,-0.2006956358893527,dolo 500 tablet 10s paracetamol-500mg Strip | Tablet,4,-0.25348696,-0.069484584
source_1-65083,dolo500 tablet 15s,source_1,False,14.5,12.8,micro labs ltd,15,Strip | Tablet,paracetamol-500mg,592,42,177,15.0,-0.16826922288673102,-0.19313362193940758,dolo500 tablet 15s paracetamol-500mg Strip | Tablet,4,-0.27082744,-0.05937731
source_6-75721,dolo 650mg strip of 10 tablets,source_6,False,22.61,19.9,micro labs,10 Tablet(s) in Strip,STRIP,paracetamol / acetaminophen(650.0 mg),577,38,176,10.0,-0.15766957269953,-0.17971104717825498,dolo 650mg strip of 10 tablets paracetamol / acetaminophen(650.0 mg) STRIP,4,-0.22359107,-0.11294795
source_6-75722,dolo 650mg strip of 15 tablets,source_6,False,33.76,29.71,micro labs,15 Tablet(s) in Strip,STRIP,paracetamol / acetaminophen(650.0 mg),577,38,176,15.0,-0.1430966874236618,-0.16116520796601452,dolo 650mg strip of 15 tablets paracetamol / acetaminophen(650.0 mg) STRIP,4,-0.22769852,-0.13811406
source_2-39584,dolo 650 tablet,source_2,False,33.6,27.55,micro labs ltd,650,strip,paracetamol 650mg,581,57,177,650.0,-0.14330580505990742,-0.16524869549898488,dolo 650 tablet paracetamol 650mg strip,4,-0.22772257,-0.10723885
source_1-65084,dolo650 tablet 15s,source_1,False,33.5,29.5,micro labs ltd,15,Strip | Tablet,paracetamol-650mg,594,42,177,15.0,-0.14343650358256094,-0.16156221369838664,dolo650 tablet 15s paracetamol-650mg Strip | Tablet,4,-0.26257625,-0.08548027
source_6-75723,dolo ampoule of 2ml injection,source_6,True,9.8,9.8,micro labs,2ml Injection in Ampoule,AMPOULE,paracetamol / acetaminophen(150.0 mg),572,0,176,2.0,-0.17441205345144675,-0.19880513240186642,dolo ampoule of 2ml injection paracetamol / acetaminophen(150.0 mg) AMPOULE,2,0.055532616,-0.30395818
source_6-75724,dolo bottle of 5ml drops,source_6,False,27.0,27.0,micro labs,5ml Oral Drop in Bottle,BOTTLE,paracetamol / acetaminophen(100.0 mg),566,2,176,5.0,-0.15193190755504019,-0.16628847241710235,dolo bottle of 5ml drops paracetamol / acetaminophen(100.0 mg) BOTTLE,0,0.059942797,-0.4186167
source_6-75725,dolo cold 325102 mg suspension 60 ml,source_6,True,54.45,46.28,micro labs,60ml Suspension in Bottle,BOTTLE,phenylephrine(10.0 mg) + chlorpheniramine / chlorphenamine(2.0 mg) + paracetamol / acetaminophen(325.0 mg),616,2,176,60.0,-0.11605516308664711,-0.12983956517836678,dolo cold 325102 mg suspension 60 ml phenylephrine(10.0 mg) + chlorpheniramine / chlorphenamine(2.0 mg) + paracetamol / acetaminophen(325.0 mg) BOTTLE,0,0.078784145,-0.36327672
source_6-75726,dolo cold 50 mg capsule sr 10,source_6,True,15.85,13.47,micro labs,10 Capsule(s) in Strip,STRIP,chlorpheniramine / chlorphenamine(50.0 mg) + pseudoephedrine(50.0 mg) + paracetamol / acetaminophen(50.0 mg),195,38,176,10.0,-0.1665047928309084,-0.19186698460279178,dolo cold 50 mg capsule sr 10 chlorpheniramine / chlorphenamine(50.0 mg) + pseudoephedrine(50.0 mg) + paracetamol / acetaminophen(50.0 mg) STRIP,4,-0.13547942,-0.19086775
source_2-39585,dolo cold 500mg30mg10mg tablet,source_2,True,35.0,28.7,micro labs ltd,10,strip,"paracetamol/acetaminophen 500mg,caffeine 30mg,phen",609,57,177,10.0,-0.14147602574275805,-0.16307461648837565,"dolo cold 500mg30mg10mg tablet paracetamol/acetaminophen 500mg,caffeine 30mg,phen strip",4,-0.19735345,-0.19323865
source_6-75727,dolo cold adult nasal drops,source_6,True,40.83,35.93,micro labs,10ml Nasal Drop in Bottle,BOTTLE,xylometazoline,728,2,176,10.0,-0.13385630187205744,-0.14940627627384984,dolo cold adult nasal drops xylometazoline BOTTLE,3,0.48796672,-0.109077424
source_6-75728,dolo cold pead nasal drops,source_6,False,41.0,34.85,micro labs,10ml Nasal Drop in Bottle,BOTTLE,xylometazoline,728,2,176,10.0,-0.13363411438354644,-0.151448020040335,dolo cold pead nasal drops xylometazoline BOTTLE,3,0.51962894,-0.09880914
source_6-75729,dolo cold strip of 10 tablets,source_6,True,35.44,31.19,micro labs,10 Tablet(s) in Strip,STRIP,caffeine(30.0 mg) + phenylephrine(10.0 mg) + chlorpheniramine / chlorphenamine(2.0 mg) + paracetamol / acetaminophen(500.0 mg),154,38,176,10.0,-0.14090095224308252,-0.1583672628045348,dolo cold strip of 10 tablets caffeine(30.0 mg) + phenylephrine(10.0 mg) + chlorpheniramine / chlorphenamine(2.0 mg) + paracetamol / acetaminophen(500.0 mg) STRIP,4,-0.10572847,-0.067464195
source_6-75731,dolo cold syrup 60ml,source_6,True,53.55,47.12,micro labs,60ml Suspension in Bottle,BOTTLE,chlorpheniramine + paracetamol + pseudoephedrine,193,2,176,60.0,-0.11723144979052887,-0.12825154224887833,dolo cold syrup 60ml chlorpheniramine + paracetamol + pseudoephedrine BOTTLE,0,0.045280375,-0.39686126
source_7-90348,dolo drops,source_7,False,30.07,22.5,micro labs ltd,15.0 ml in 1 packet,bottle,paracetamol (100mg/ml),552,55,177,15.0,-0.14791946290957692,-0.17479573811079063,dolo drops paracetamol (100mg/ml) bottle,0,0.119510666,-0.43344897
source_6-75733,dolo g tablets,source_6,True,30.91,27.2,integra life sciences pvt ltd,10 Tablet(s) in Strip,STRIP,dicyclomine + mefenamic acid,315,38,128,10.0,-0.1468215953192873,-0.16591037171960507,dolo g tablets dicyclomine + mefenamic acid STRIP,1,-0.012772903,0.07977242
source_6-75734,dolo infusion 100ml,source_6,True,75.03,66.03,micro labs,100ml Infusion in Bottle,BOTTLE,paracetamol / acetaminophen(1.0 g),565,2,176,100.0,-0.08915740712455134,-0.09250212130051266,dolo infusion 100ml paracetamol / acetaminophen(1.0 g) BOTTLE,0,0.13390084,-0.4234508
source_1-65085,dolo infusion 100 ml,source_1,True,331.0,291.3,micro labs ltd,100,Bottle | Infusion,paracetamol-1000mg,583,11,177,100.0,0.24539160131168078,0.33337159932552257,dolo infusion 100 ml paracetamol-1000mg Bottle | Infusion,0,0.1619492,-0.40855566
source_1-65086,dolo ivg 1 infusion 100 ml,source_1,True,401.0,352.9,micro labs ltd,100,Bottle | Infusion,paracetamol-1000mg,583,11,177,100.0,0.33688056716914944,0.4498266141546776,dolo ivg 1 infusion 100 ml paracetamol-1000mg Bottle | Infusion,0,0.13958403,-0.40233746
source_6-75735,dolo k 50 mg strip of 10 tablets,source_6,True,7.5,6.6,bosch pharmaceuticals pvt ltd,10 Tablet(s) in Strip,STRIP,diclofenac(50.0 mg),292,38,49,10.0,-0.17741811947247788,-0.20485474356182254,dolo k 50 mg strip of 10 tablets diclofenac(50.0 mg) STRIP,1,-0.02201495,0.17065233
source_6-75736,dolo m tablets,source_6,True,38.1,33.53,integra life sciences pvt ltd,10 Tablet(s) in Strip,STRIP,drotaverine + mefenamic acid,329,38,128,10.0,-0.13742437154049872,-0.1539434846438169,dolo m tablets drotaverine + mefenamic acid STRIP,1,-0.04085488,0.037611555
source_6-75737,dolo mf bottle of 60ml suspension,source_6,True,57.51,50.61,micro labs,60ml Suspension in Bottle,BOTTLE,mefenamic acid(100.0 mg/5ml) + paracetamol / acetaminophen(250.0 mg/5ml),457,2,176,60.0,-0.11205578829344921,-0.12165368507755117,dolo mf bottle of 60ml suspension mefenamic acid(100.0 mg/5ml) + paracetamol / acetaminophen(250.0 mg/5ml) BOTTLE,0,0.077221796,-0.43455887
source_6-75738,dolo mf junior bottle of 60ml suspension,source_6,True,52.0,44.2,micro labs,60ml Suspension in Bottle,BOTTLE,paracetamol / acetaminophen(125.0 mg/5ml) + mefenamic acid(50.0 mg/5ml),571,2,176,60.0,-0.11925727689165852,-0.13377181243233824,dolo mf junior bottle of 60ml suspension paracetamol / acetaminophen(125.0 mg/5ml) + mefenamic acid(50.0 mg/5ml) BOTTLE,0,0.10047264,-0.44816133
source_7-90349,dolomf junior oral suspension,source_7,True,56.5,50.85,micro labs ltd,60.0 ml in 1 bottle,bottle,mefenamic acid (50mg/5ml) + paracetamol (125mg/5ml),453,55,177,60.0,-0.11337584337224982,-0.12119996424055444,dolomf junior oral suspension mefenamic acid (50mg/5ml) + paracetamol (125mg/5ml) bottle,0,0.07231968,-0.35050142
source_1-65087,dolomf junior oral suspension 60 ml,source_1,True,56.5,49.8,micro labs ltd,60,Bottle | Suspension,mefenamic acid-50mg + paracetamol-125mg,459,23,177,60.0,-0.11337584337224982,-0.12318499290241507,dolomf junior oral suspension 60 ml mefenamic acid-50mg + paracetamol-125mg Bottle | Suspension,0,0.10345854,-0.3354035
source_2-39587,dolomf oral suspension,source_2,True,49.0,40.18,micro labs ltd,100 ml,bottle,"mefenamic acid 100mg,paracetamol/acetaminophen 250",456,55,177,100.0,-0.12317823257126433,-0.14137163645203313,"dolomf oral suspension mefenamic acid 100mg,paracetamol/acetaminophen 250 bottle",0,-0.014416838,-0.34185192
source_1-65088,dolomf susp 60ml,source_1,True,63.0,55.4,micro labs ltd,60,Bottle | Suspension,mefenamic acid-100mg + paracetamol-250mg,458,23,177,60.0,-0.1048804393997706,-0.11259817337249187,dolomf susp 60ml mefenamic acid-100mg + paracetamol-250mg Bottle | Suspension,0,0.07929638,-0.3638765
source_6-75739,dolo micro labs forte 500 mg tablet 10,source_6,False,14.95,14.95,micro labs,10 Tablet(s) in Strip,STRIP,paracetamol / acetaminophen(500.0 mg),576,38,176,10.0,-0.16768107953479014,-0.18906903944131206,dolo micro labs forte 500 mg tablet 10 paracetamol / acetaminophen(500.0 mg) STRIP,4,-0.19728838,-0.09461399
source_1-65089,dolo oral drops 15 ml,source_1,False,30.0,26.4,micro labs ltd,15,Bottle | Oral Drops,paracetamol-100mg,584,17,177,15.0,-0.1480109518754344,-0.1674227745095941,dolo oral drops 15 ml paracetamol-100mg Bottle | Oral Drops,0,0.04700175,-0.35408723
source_6-75740,dolo pain relief bottle of 35gm spray,source_6,False,83.5,73.48,micro labs,35g Spray in Bottle,BOTTLE,diclofenac(1.16 %) + menthol(5.0 %) + methyl salicylate(10.0 %) + linseed oil(3.0 %),286,2,176,35.0,-0.07808724225579763,-0.07841787031873984,dolo pain relief bottle of 35gm spray diclofenac(1.16 %) + menthol(5.0 %) + methyl salicylate(10.0 %) + linseed oil(3.0 %) BOTTLE,0,0.15902896,-0.2281477
source_1-65091,dolo pain relief spray 55 gm,source_1,False,143.5,126.3,micro labs ltd,55,Bottle | Spray,diclofenac-1.16%w/v + linseed oil-3%w/v + menthol-5%w/v + methyl salicylate-10%w/v,302,22,177,55.0,0.00033187133631834456,0.021438523890285686,dolo pain relief spray 55 gm diclofenac-1.16%w/v + linseed oil-3%w/v + menthol-5%w/v + methyl salicylate-10%w/v Bottle | Spray,0,0.1474808,-0.20409457
source_6-75741,dolo plus tablet,source_6,True,10.0,8.8,mankind pharmaceuticals ltd,10 Tablet(s) in Strip,STRIP,diclofenac(50.0 mg) + paracetamol / acetaminophen(500.0 mg),295,38,160,10.0,-0.1741506564061397,-0.2006956358893527,dolo plus tablet diclofenac(50.0 mg) + paracetamol / acetaminophen(500.0 mg) STRIP,4,-0.24452396,-0.14610234
source_6-75742,dolo relieve tablet,source_6,True,18.0,15.84,medico health care,10 Tablet(s) in Strip,STRIP,diclofenac(50.0 mg) + paracetamol / acetaminophen(500.0 mg),295,38,166,10.0,-0.16369477459385756,-0.18738649133744928,dolo relieve tablet diclofenac(50.0 mg) + paracetamol / acetaminophen(500.0 mg) STRIP,4,-0.23213656,-0.080942236
source_2-39589,dolo soft mr 100mg2mg tablet,source_2,True,47.0,38.54,gujarat liqui pharmacaps pvt ltd,2,strip,"nimesulide 100mg,tizanidine 2mg",488,57,111,2.0,-0.12579220302433486,-0.1444720621715106,"dolo soft mr 100mg2mg tablet nimesulide 100mg,tizanidine 2mg strip",1,-0.08687081,0.13677986
source_2-39590,dolo sp 500mg tablet,source_2,True,68.75,56.38,bioguard organics ltd,500,strip,paracetamol/acetaminophen 500mg,608,57,42,500.0,-0.0973652743471928,-0.1107454799547553,dolo sp 500mg tablet paracetamol/acetaminophen 500mg strip,4,-0.28716746,-0.15496425
source_6-75743,dolo suspension 60ml,source_6,False,51.0,44.37,micro labs,60ml Suspension in Bottle,BOTTLE,paracetamol / acetaminophen(156.25 mg/5ml),573,2,176,60.0,-0.1205642621181938,-0.1334504268394656,dolo suspension 60ml paracetamol / acetaminophen(156.25 mg/5ml) BOTTLE,0,0.053441275,-0.5051157
source_1-65092,dolo suspension 60 ml,source_1,False,56.0,49.3,micro labs ltd,60,Bottle | Suspension,paracetamol-125mg,586,23,177,60.0,-0.11402933598551745,-0.12413024464615821,dolo suspension 60 ml paracetamol-125mg Bottle | Suspension,0,0.19359428,-0.49811953
source_7-90352,dolot tablet,source_7,True,143.3909250764526,115.28856905660376,micro labs ltd,10 tablets,strip,tramadol (37.5mg) + paracetamol (325mg),709,57,177,10.0,0.00018931202265641518,0.000621375289580718,dolot tablet tramadol (37.5mg) + paracetamol (325mg) strip,4,-0.26016635,-0.20999089
source_1-65093,dolot tablet 10s,source_1,True,123.0,108.2,micro labs ltd,10,Strip | Tablet,paracetamol-325mg + tramadol-37.5mg,591,42,177,10.0,-0.026461325807654614,-0.01277958923321605,dolot tablet 10s paracetamol-325mg + tramadol-37.5mg Strip | Tablet,4,-0.27760687,-0.16217345
source_7-90353,dolo th 4 tablet,source_7,True,189.7,157.5,micro labs ltd,10.0 tablets in 1 strip,strip,paracetamol (500mg) + thiocolchicoside (4mg),560,57,177,10.0,0.06071458880224763,0.08042223269985777,dolo th 4 tablet paracetamol (500mg) + thiocolchicoside (4mg) strip,4,-0.2743077,-0.1446924
source_1-65094,dolo th 4 tablet 10s,source_1,True,189.5,166.8,micro labs ltd,10,Strip | Tablet,paracetamol-500mg + thiocolchicoside-4mg,593,42,177,10.0,0.0604531917569406,0.09800391513348022,dolo th 4 tablet 10s paracetamol-500mg + thiocolchicoside-4mg Strip | Tablet,4,-0.26949394,-0.09793981
source_1-65095,dolo xtraa tablet 15s,source_1,False,47.0,41.4,micro labs ltd,15,Strip | Tablet,caffeine-50mg + paracetamol-650mg,160,42,177,15.0,-0.12579220302433486,-0.13906522219729986,dolo xtraa tablet 15s caffeine-50mg + paracetamol-650mg Strip | Tablet,4,-0.1174562,-0.16868615
source_2-39591,doloact 25mg injection,source_2,True,6.66,5.46,ochoa laboratories ltd,25,injection,diclofenac 25mg,261,56,194,25.0,-0.1785159870627675,-0.2070099175375569,doloact 25mg injection diclofenac 25mg injection,2,0.20435226,-0.04044781
source_6-75744,doloact 25mg injection 3ml,source_6,True,6.66,5.86,ochoa laboratiories ltd,3ml Injection,INJECTION,diclofenac(25.0 mg),291,31,193,3.0,-0.1785159870627675,-0.20625371614256238,doloact 25mg injection 3ml diclofenac(25.0 mg) INJECTION,2,0.21175084,-0.07017214
source_2-39592,doloact 50mg tablet dt,source_2,True,11.26,9.23,ochoa laboratories ltd,50,strip,diclofenac 50mg,263,57,194,50.0,-0.17250385502070528,-0.1998827193897336,doloact 50mg tablet dt diclofenac 50mg strip,1,-0.1316605,0.21743296
source_6-75745,doloact dt tablet,source_6,True,11.26,11.26,ochoa laboratiories ltd,10 Tablet(s) in Strip,STRIP,diclofenac(50.0 mg),292,38,193,10.0,-0.17250385502070528,-0.19604499731013644,doloact dt tablet diclofenac(50.0 mg) STRIP,1,-0.10680562,0.23864114
source_6-75746,doloact gel 30gm,source_6,False,51.0,44.88,ochoa laboratiories ltd,30g Gel in Tube,TUBE,diclofenac(1.16 %),285,43,193,30.0,-0.1205642621181938,-0.13248627006084757,doloact gel 30gm diclofenac(1.16 %) TUBE,3,0.37406155,0.032098945
source_6-75747,doloact mouth paint,source_6,True,55.0,48.4,bmw pharmaco india pvt ltd,10ml Mouth Paint in Bottle,BOTTLE,beclomethasone + clotrimazole,137,2,48,10.0,-0.11533632121205273,-0.12583169778489586,doloact mouth paint beclomethasone + clotrimazole BOTTLE,3,0.33578488,-0.05763201
source_2-39593,doloact mr 250mg465mg500mg tablet,source_2,True,40.96,33.59,ochoa laboratories ltd,500,strip,"chlorzoxazone 250mg,diclofenac 46.5mg,paracetamol/",209,57,194,500.0,-0.13368639379260785,-0.1538300544345677,"doloact mr 250mg465mg500mg tablet chlorzoxazone 250mg,diclofenac 46.5mg,paracetamol/ strip",4,-0.20376608,-0.090634994
source_7-90355,doloact mr 250mg465mg500mg tablet dt,source_7,True,40.96,39.7,ochoa laboratories ltd,10.0 tablet dt in 1 strip,strip,chlorzoxazone (250mg) + diclofenac (46.5mg) + paracetamol (500mg),203,57,194,10.0,-0.13368639379260785,-0.14227907812602653,doloact mr 250mg465mg500mg tablet dt chlorzoxazone (250mg) + diclofenac (46.5mg) + paracetamol (500mg) strip,4,-0.2015366,-0.055505466
source_6-75748,doloact mr dt strip of 10 tablets,source_6,True,40.0,35.2,ochoa laboratiories ltd,10 Tablet(s) in Strip,STRIP,chlorzoxazone + diclofenac sodium + paracetamol,208,38,193,10.0,-0.13494109961008172,-0.1507863438197148,doloact mr dt strip of 10 tablets chlorzoxazone + diclofenac sodium + paracetamol STRIP,4,-0.1239915,-0.0061299377
source_7-90356,doloact plus 50mg500mg tablet,source_7,True,17.1,16.6,ochoa laboratories ltd,10.0 tablets in 1 strip,strip,diclofenac (50mg) + paracetamol (500mg),251,57,194,10.0,-0.16487106129773932,-0.18594970868695967,doloact plus 50mg500mg tablet diclofenac (50mg) + paracetamol (500mg) strip,4,-0.23313779,-0.10884047
source_6-75749,doloact plus dt strip of 10 tablets,source_6,True,16.0,14.08,ochoa laboratiories ltd,10 Tablet(s) in Strip,STRIP,diclofenac sodium + paracetamol,278,38,193,10.0,-0.1663087450469281,-0.19071377747542514,doloact plus dt strip of 10 tablets diclofenac sodium + paracetamol STRIP,4,-0.18465525,-0.104574986
source_6-75750,doloact plus gel 30gm,source_6,True,14.0,12.32,ochoa laboratiories ltd,30g Gel in Tube,TUBE,diclofenac + linseed oil + menthol + methyl salicylate,257,43,193,30.0,-0.16892271549999863,-0.19404106361340098,doloact plus gel 30gm diclofenac + linseed oil + menthol + methyl salicylate TUBE,3,0.21811402,-0.08960635
source_7-90357,doloage 20mg injection,source_7,True,143.3909250764526,115.28856905660376,allenge india,20,injection,piroxicam (20mg),624,56,16,20.0,0.00018931202265641518,0.000621375289580718,doloage 20mg injection piroxicam (20mg) injection,2,0.2659511,0.086924314
source_7-90358,doloage 20mg tablet,source_7,True,32.0,31.0,allenge india,10.0 tablets in 1 strip,strip,piroxicam (20mg),624,57,16,10.0,-0.14539698142236385,-0.15872645846715722,doloage 20mg tablet piroxicam (20mg) strip,1,-0.049389377,0.34742635
source_6-75751,doloage 20mg tablets,source_6,True,28.0,24.64,allenge india pharmaceuticals pvt ltd,10 Tablet(s) in Strip,STRIP,piroxicam(20.0 mg),635,38,17,10.0,-0.1506249223285049,-0.17075006064756998,doloage 20mg tablets piroxicam(20.0 mg) STRIP,1,-0.024571043,0.31673914
source_6-75752,doloage injection,source_6,True,168.0,147.84,allenge india pharmaceuticals pvt ltd,2ml Injection,INJECTION,piroxicam(40.0 mg),636,31,17,2.0,0.03235300938643237,0.06215996901074026,doloage injection piroxicam(40.0 mg) INJECTION,2,0.31310582,0.07641274
source_7-90359,doloage p 325mg20mg tablet,source_7,True,68.0,65.9,allenge india,10.0 tablets in 1 strip,strip,paracetamol (325mg) + piroxicam (20mg),558,57,16,10.0,-0.09834551326709426,-0.09274788675388587,doloage p 325mg20mg tablet paracetamol (325mg) + piroxicam (20mg) strip,4,-0.2065778,-0.044805124
source_1-65096,doloarmr tablet 10s,source_1,True,95.0,83.6,unibiotech health care pvt ltd,10,Strip | Tablet,aceclofenac-100mg + chlorzoxazone-250mg + paracetamol-325mg,89,42,260,10.0,-0.06305691215064207,-0.05928597502537866,doloarmr tablet 10s aceclofenac-100mg + chlorzoxazone-250mg + paracetamol-325mg Strip | Tablet,4,-0.2593407,0.011339222
source_1-65097,doloar sp tab 10s,source_1,True,110.0,96.8,unibiotech health care pvt ltd,10,Strip | Tablet,aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg,94,42,260,10.0,-0.04345213375261307,-0.0343313289905597,doloar sp tab 10s aceclofenac-100mg + paracetamol-325mg + serratiopeptidase-15mg Strip | Tablet,4,-0.32202554,0.002672318
source_7-90360,dolobak 100mg450mg tablet,source_7,True,123.0,119.0,micro labs ltd,10.0 tablets in 1 strip,strip,paracetamol (100mg) + chlormezanone (450mg),551,57,177,10.0,-0.026461325807654614,0.007637848431635816,dolobak 100mg450mg tablet paracetamol (100mg) + chlormezanone (450mg) strip,4,-0.24228714,-0.14448635
source_2-39597,dolobak 450 mg100 mg tablet,source_2,True,56.0,45.92,micro labs ltd,100,strip,"paracetamol/acetaminophen 450mg,chlormezanone 100m",606,57,177,100.0,-0.11402933598551745,-0.13052014643386184,"dolobak 450 mg100 mg tablet paracetamol/acetaminophen 450mg,chlormezanone 100m strip",4,-0.23958778,-0.17514332
